writer_name,book_name,count(*),
Bankim Chandra,রাজসিংহ,65,
Sunil Gangopadhyay,পূর্ব-পশ্চিম – ২য় খণ্ড,72,
Humayun Ahmed,জোছনা ও জননীর গল্প,73,
Rabindranath Tagore,গোরা,77,
Sunil Gangopadhyay,সেই সময় – ২য় পর্ব,82,
Shirshendu Mukhopadhyay,মানবজমিন – শীর্ষেন্দু মুখোপাধ্যায়,83,
Sunil Gangopadhyay,প্রথম আলো – ২য় পর্ব,88,
Shirshendu Mukhopadhyay,গল্প (শীর্ষেন্দু মুখোপাধ্যায়),97,
Rabindranath Tagore,গল্পগুচ্ছ,101,
Samaresh Majumdar,গল্প (সমরেশ মজুমদার),103,
Shirshendu Mukhopadhyay,দূরবীন – শীর্ষেন্দু মুখোপাধ্যায়,106,
Sunil Gangopadhyay,পূর্ব-পশ্চিম – ১ম খণ্ড,116,
Shirshendu Mukhopadhyay,পার্থিব – শীর্ষেন্দু মুখোপাধ্যায়,120,
Rabindranath Tagore,নৌকাডুবি,151,
